Rowid_,VALUE,COUNT,MH_EVT,MH_EVH,MH_EVC,CLASSNAME,EVT_GP,EVT_GP_N,CLASSNAMES,CLASSNAMES_1
,116,84,3366,110,103,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,117,32,3977,102,121,Eastern Cool Temperate Pasture and Hayland,67.000000000000000,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
,118,131,3278,102,123,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
,119,104,3492,102,124,Great Lakes Coastal Marsh Herbaceous,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,120,8,3366,109,101,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
,121,147,3240,111,106,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
,122,111,3272,107,111,Eastern Boreal Floodplain Shrubland,676.000000000000000,Jack Pine Forest,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
,123,21,3481,109,106,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,124,132,3301,111,108,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
,125,645,3240,111,108,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
,126,3054,3365,110,105,Boreal White Spruce-Fir Forest,693.000000000000000,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
,127,90,3477,109,106,Boreal Acidic Peatland Forest,683.000000000000000,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
,128,1,3366,108,106,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
,129,50,3934,101,121,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
,130,4,3302,108,108,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 80 and < 90%
,131,5,3444,111,107,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,132,667,3240,110,103,Laurentian-Acadian Hardwood Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,133,181,3977,102,124,Eastern Cool Temperate Pasture and Hayland,67.000000000000000,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
,134,39,3238,110,108,Laurentian-Acadian Northern Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,135,112,3930,110,108,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
,136,67,3366,110,102,Laurentian-Acadian Pine-Hemlock Forest,685.000000000000000,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,137,10,3444,110,109,Eastern Boreal Floodplain Woodland,676.000000000000000,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
,138,365,3238,110,106,Laurentian-Acadian Northern Oak Forest,665.000000000000000,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
,139,359,3301,111,107,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,140,1335,3302,110,102,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,141,107,3284,102,125,Laurentian-Acadian Herbaceous Wetlands,675.000000000000000,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
,142,4,3302,108,107,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 70 and < 80%
,143,41,3302,108,106,Laurentian-Acadian Northern Hardwoods Forest,682.000000000000000,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
,144,83,3934,102,122,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
,145,66,3481,111,107,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,694.000000000000000,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
,146,10,3931,110,103,Eastern Cool Temperate Developed Ruderal Evergreen Forest,14.000000000000000,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,147,70,3930,110,102,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
,148,68,3930,110,103,Eastern Cool Temperate Developed Ruderal Deciduous Forest,13.000000000000000,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
,149,2,3301,109,108,Boreal Aspen-Birch Forest,652.000000000000000,Aspen-Birch Forest,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
,150,140,3934,102,123,Eastern Cool Temperate Developed Ruderal Grassland,16.000000000000000,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
,151,285,3278,102,122,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
,152,1178,3278,102,121,Boreal Acidic Peatland Herbaceous,683.000000000000000,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
